C:\Users\Nikhil\Desktop\LATEST1\IMG\center_2019_03_12_22_38_09_731.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\left_2019_03_12_22_38_09_731.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\right_2019_03_12_22_38_09_731.jpg, 0, 0, 0, 2.281001E-05
C:\Users\Nikhil\Desktop\LATEST1\IMG\center_2019_03_12_22_38_09_832.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\left_2019_03_12_22_38_09_832.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\right_2019_03_12_22_38_09_832.jpg, 0, 0, 0, 2.284115E-05
C:\Users\Nikhil\Desktop\LATEST1\IMG\center_2019_03_12_22_38_09_935.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\left_2019_03_12_22_38_09_935.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\right_2019_03_12_22_38_09_935.jpg, 0, 0, 0, 2.268725E-05
C:\Users\Nikhil\Desktop\LATEST1\IMG\center_2019_03_12_22_38_10_035.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\left_2019_03_12_22_38_10_035.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\right_2019_03_12_22_38_10_035.jpg, 0, 0, 0, 2.271028E-05
C:\Users\Nikhil\Desktop\LATEST1\IMG\center_2019_03_12_22_38_10_139.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\left_2019_03_12_22_38_10_139.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\right_2019_03_12_22_38_10_139.jpg, 0, 0, 0, 2.249791E-05
C:\Users\Nikhil\Desktop\LATEST1\IMG\center_2019_03_12_22_38_10_242.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\left_2019_03_12_22_38_10_242.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\right_2019_03_12_22_38_10_242.jpg, 0, 0, 0, 2.256213E-05
C:\Users\Nikhil\Desktop\LATEST1\IMG\center_2019_03_12_22_38_10_342.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\left_2019_03_12_22_38_10_342.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\right_2019_03_12_22_38_10_342.jpg, 0, 0.160771, 0, 0.03880155
C:\Users\Nikhil\Desktop\LATEST1\IMG\center_2019_03_12_22_38_10_444.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\left_2019_03_12_22_38_10_444.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\right_2019_03_12_22_38_10_444.jpg, 0, 0.4590305, 0, 0.4638458
C:\Users\Nikhil\Desktop\LATEST1\IMG\center_2019_03_12_22_38_10_545.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\left_2019_03_12_22_38_10_545.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\right_2019_03_12_22_38_10_545.jpg, 0, 0.7609269, 0, 1.192607
C:\Users\Nikhil\Desktop\LATEST1\IMG\center_2019_03_12_22_38_10_646.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\left_2019_03_12_22_38_10_646.jpg, C:\Users\Nikhil\Desktop\LATEST1\IMG\right_2019_03_12_22_38_10_646.jpg, 0, 1, 0, 2.322634
